state_code,county_code,site_num,parameter_code,poc,latitude,longitude,datum,parameter_name,sample_duration,pollutant_standard,date_local,units_of_measure,event_type,observation_count,observation_percent,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code,method_name,local_site_name,address,state_name,county_name,city_name,cbsa_name,date_of_last_change
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-02-26,Millibars,None,24,100.0,1002.541667,1006.0,0,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-02-27,Millibars,None,24,100.0,996.875,999.0,9,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-02-28,Millibars,None,24,100.0,998.041667,999.0,8,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-03-01,Millibars,None,24,100.0,997.875,1000.0,8,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-03-02,Millibars,None,24,100.0,992.916667,996.0,0,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-03-03,Millibars,None,24,100.0,990.0,996.0,22,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-03-04,Millibars,None,24,100.0,1000.375,1003.0,20,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-03-05,Millibars,None,24,100.0,1003.625,1005.0,7,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-03-06,Millibars,None,24,100.0,1002.541667,1004.0,8,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-03-07,Millibars,None,24,100.0,1002.625,1004.0,8,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-03-08,Millibars,None,24,100.0,1003.458333,1005.0,8,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-03-09,Millibars,None,24,100.0,1002.916667,1004.0,0,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-03-10,Millibars,None,24,100.0,1002.166667,1004.0,9,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-03-11,Millibars,None,24,100.0,997.75,1001.0,0,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-03-12,Millibars,None,24,100.0,994.958333,1000.0,22,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-03-13,Millibars,None,24,100.0,1004.416667,1007.0,21,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-03-14,Millibars,None,24,100.0,1009.125,1011.0,7,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-03-15,Millibars,None,23,96.0,1008.478261,1011.0,7,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-03-16,Millibars,None,24,100.0,1002.0,1005.0,0,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-03-17,Millibars,None,24,100.0,999.708333,1004.0,20,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-03-18,Millibars,None,24,100.0,1007.75,1011.0,20,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-03-19,Millibars,None,24,100.0,1013.791667,1016.0,9,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-03-20,Millibars,None,24,100.0,1012.416667,1016.0,9,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-03-21,Millibars,None,24,100.0,1008.041667,1009.0,0,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-03-22,Millibars,None,24,100.0,1006.666667,1008.0,0,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-03-23,Millibars,None,24,100.0,1004.416667,1006.0,0,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-03-24,Millibars,None,24,100.0,997.541667,1001.0,0,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-03-25,Millibars,None,24,100.0,996.958333,999.0,9,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-03-26,Millibars,None,24,100.0,997.458333,1000.0,9,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
22,033,0009,64101,1,30.461981,-91.179219,NAD83,Barometric pressure,1 HOUR,,2023-03-27,Millibars,None,24,100.0,1000.0,1002.0,21,,11,INSTRUMENTAL - ANEROID,Capitol,1061-A Leesville Ave,Louisiana,East Baton Rouge,Baton Rouge,"Baton Rouge, LA",2023-04-24
